I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.052985,0.063582,0.026492,-0.042388,0.015895,0.037089,-0.015895,0.021194,0.042388,0.058283,0.052985,0.031791
-0.009882,-0.011859,-0.004941,0.007906,-0.002965,-0.006918,0.002965,-0.003953,-0.007906,-0.010870,-0.009882,-0.005929
0.025223,0.030267,0.012611,-0.020178,0.007567,0.017656,-0.007567,0.010089,0.020178,0.027745,0.025223,0.015134
-0.005398,-0.006477,-0.002699,0.004318,-0.001619,-0.003779,0.001619,-0.002159,-0.004318,-0.005938,-0.005398,-0.003239
0.017046,0.020455,0.008523,-0.013637,0.005114,0.011932,-0.005114,0.006818,0.013637,0.018750,0.017046,0.010228
-0.022576,-0.027091,-0.011288,0.018061,-0.006773,-0.015803,0.006773,-0.009030,-0.018061,-0.024833,-0.022576,-0.013546
-0.051230,-0.061475,-0.025615,0.040984,-0.015369,-0.035861,0.015369,-0.020492,-0.040984,-0.056353,-0.051230,-0.030738
-0.054049,-0.064858,-0.027024,0.043239,-0.016215,-0.037834,0.016215,-0.021619,-0.043239,-0.059453,-0.054049,-0.032429
0.011586,0.013903,0.005793,-0.009269,0.003476,0.008110,-0.003476,0.004634,0.009269,0.012745,0.011586,0.006952
0.067614,0.081136,0.033807,-0.054091,0.020284,0.047330,-0.020284,0.027045,0.054091,0.074375,0.067614,0.040568
0.008443,0.010132,0.004222,-0.006754,0.002533,0.005910,-0.002533,0.003377,0.006754,0.009287,0.008443,0.005066
-0.015062,-0.018074,-0.007531,0.012049,-0.004519,-0.010543,0.004519,-0.006025,-0.012049,-0.016568,-0.015062,-0.009037
0.058586,0.070303,0.029293,-0.046869,0.017576,0.041010,-0.017576,0.023434,0.046869,0.064445,0.058586,0.035152
0.009263,0.011116,0.004632,-0.007411,0.002779,0.006484,-0.002779,0.003705,0.007411,0.010190,0.009263,0.005558
0.006668,0.008001,0.003334,-0.005334,0.002000,0.004667,-0.002000,0.002667,0.005334,0.007335,0.006668,0.004001
0.013496,0.016195,0.006748,-0.010797,0.004049,0.009447,-0.004049,0.005398,0.010797,0.014846,0.013496,0.008098
0.005365,0.006438,0.002682,-0.004292,0.001609,0.003755,-0.001609,0.002146,0.004292,0.005901,0.005365,0.003219
0.004941,0.005929,0.002470,-0.003953,0.001482,0.003459,-0.001482,0.001976,0.003953,0.005435,0.004941,0.002964
-0.022112,-0.026534,-0.011056,0.017689,-0.006634,-0.015478,0.006634,-0.008845,-0.017689,-0.024323,-0.022112,-0.013267
0.044816,0.053780,0.022408,-0.035853,0.013445,0.031372,-0.013445,0.017927,0.035853,0.049298,0.044816,0.026890
0.038040,0.045648,0.019020,-0.030432,0.011412,0.026628,-0.011412,0.015216,0.030432,0.041844,0.038040,0.022824
0.090031,0.108037,0.045015,-0.072025,0.027009,0.063022,-0.027009,0.036012,0.072025,0.099034,0.090031,0.054019
0.058444,0.070133,0.029222,-0.046755,0.017533,0.040911,-0.017533,0.023378,0.046755,0.064288,0.058444,0.035066
0.028856,0.034628,0.014428,-0.023085,0.008657,0.020199,-0.008657,0.011543,0.023085,0.031742,0.028856,0.017314
0.099909,0.119891,0.049955,-0.079927,0.029973,0.069937,-0.029973,0.039964,0.079927,0.109900,0.099909,0.059946
0.169847,0.203817,0.084924,-0.135878,0.050954,0.118893,-0.050954,0.067939,0.135878,0.186832,0.169847,0.101908
0.121128,0.145353,0.060564,-0.096902,0.036338,0.084789,-0.036338,0.048451,0.096902,0.133240,0.121128,0.072677
0.116264,0.139517,0.058132,-0.093011,0.034879,0.081385,-0.034879,0.046506,0.093011,0.127890,0.116264,0.069758
0.113043,0.135651,0.056521,-0.090434,0.033913,0.079130,-0.033913,0.045217,0.090434,0.124347,0.113043,0.067826
0.118211,0.141854,0.059106,-0.094569,0.035463,0.082748,-0.035463,0.047285,0.094569,0.130032,0.118211,0.070927
0.136449,0.163739,0.068225,-0.109159,0.040935,0.095515,-0.040935,0.054580,0.109159,0.150094,0.136449,0.081870
0.101112,0.121335,0.050556,-0.080890,0.030334,0.070779,-0.030334,0.040445,0.080890,0.111223,0.101112,0.060667
0.168689,0.202426,0.084344,-0.134951,0.050607,0.118082,-0.050607,0.067475,0.134951,0.185557,0.168689,0.101213
0.099902,0.119883,0.049951,-0.079922,0.029971,0.069932,-0.029971,0.039961,0.079922,0.109892,0.099902,0.059941
0.094944,0.113933,0.047472,-0.075955,0.028483,0.066461,-0.028483,0.037978,0.075955,0.104439,0.094944,0.056967
0.118069,0.141683,0.059035,-0.094455,0.035421,0.082648,-0.035421,0.047228,0.094455,0.129876,0.118069,0.070841
0.104240,0.125088,0.052120,-0.083392,0.031272,0.072968,-0.031272,0.041696,0.083392,0.114664,0.104240,0.062544
0.038714,0.046456,0.019357,-0.030971,0.011614,0.027100,-0.011614,0.015485,0.030971,0.042585,0.038714,0.023228
0.043175,0.051810,0.021588,-0.034540,0.012953,0.030223,-0.012953,0.017270,0.034540,0.047493,0.043175,0.025905
0.045684,0.054821,0.022842,-0.036547,0.013705,0.031979,-0.013705,0.018274,0.036547,0.050253,0.045684,0.027411
0.010457,0.012548,0.005228,-0.008365,0.003137,0.007320,-0.003137,0.004183,0.008365,0.011502,0.010457,0.006274
